time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.93960368957e-07,-7.06828102492e-08,150.005396633,6.28308367063,0.000180009007829,0.0,-1.73826434941e-05,-7.87302434307e-06,0.17987580586,-0.00531776193863,0.00841126418068,0.0,461.625219103572,462.2883003245414,461.3502292645689,460.93027751946505
0.12000000000000001,-6.80404973674e-06,-3.92529629304e-06,150.019018041,6.28252474848,0.000633675221902,0.0,-0.000251480859431,-0.000163481176139,0.274152507998,-0.0188327326299,0.00580409691398,0.0,435.5619417875981,435.34377156168034,435.365336217043,434.2333773461963
0.18,-3.69602977093e-05,-3.17773234503e-05,150.038747759,6.28156865559,0.0013690856611,0.0,-0.000812203219378,-0.000872161661953,0.383473594841,-0.0106917580804,0.022764953074,0.0,439.28516727057064,440.6890319330315,439.56233563413747,440.236435810767
0.23999999999999996,-0.000124960531845,-0.00012625599931,150.068374588,6.28055673352,0.00251851802067,0.0,-0.00227317567163,-0.00237082261665,0.60399607162,-0.0335754239696,0.010736601728,0.0,473.67855753925903,472.7527333831543,475.2350846845423,473.47812771443427
0.3,-0.000325870106761,-0.000341121384874,150.111139397,6.27850665805,0.00259786861018,0.0,-0.00448723556534,-0.00503355192832,0.821365519446,-0.0353798070053,-0.0347429723514,0.0,474.2070248387241,470.70101300485265,473.7819004483104,473.64276673138085
0.36000000000000004,-0.000648609307167,-0.000753675573136,150.164644601,6.27585009604,0.00298549537738,0.0,-0.00623049313553,-0.00896140668659,0.962031836656,-0.0754185345699,0.0410252794562,0.0,448.3923723605263,454.505044476116,450.8086906837997,447.5605992958277
0.4200000000000001,-0.00107589233489,-0.00141852118631,150.220258814,6.27118277419,0.00518172476487,0.0,-0.00819283179754,-0.0135532429799,0.891829533001,-0.0830056265498,0.0258422897371,0.0,380.63778043241194,379.18300640945455,380.56945446644323,379.8366595471652
0.48000000000000015,-0.00168121520501,-0.00250030470421,150.276893827,6.26625243981,0.0068257667117,0.0,-0.0121482138053,-0.0230134940091,0.99591092466,-0.0805564985292,0.0303478895576,0.0,437.8090140332991,438.18387780419033,439.9784620008242,440.1756011039203
0.5400000000000001,-0.00255630847914,-0.00424523984821,150.339409174,6.26130999218,0.00848658301907,0.0,-0.0171971131613,-0.035641972133,1.08783991782,-0.0862799028506,0.0217265205579,0.0,436.3879043395942,435.66794937293673,434.9919430339976,434.5067510743949
0.6000000000000002,-0.00379294861535,-0.0069157342333,150.410440549,6.25762564612,0.0100829233667,0.0,-0.0241918460369,-0.053856093307,1.27966415665,-0.0342418441018,0.0349136100628,0.0,466.590365735118,467.6187457743699,463.62456267237616,467.6912733094329
0.6600000000000003,-0.00547619827306,-0.0107204307454,150.491675444,6.25593045633,0.0122905337881,0.0,-0.0321498076183,-0.0731650104229,1.42798343998,-0.0183754059208,0.04030980337,0.0,453.52650357800275,453.9602603534214,452.99109861668614,454.2648144379659
0.7200000000000003,-0.00769717062973,-0.0157393555556,150.582608094,6.25510096752,0.0143278322385,0.0,-0.0421370525624,-0.0942341023429,1.60286871914,-0.00600012216504,0.0165400391754,0.0,462.6471999799024,460.77244635283085,462.092880642821,463.0674114712541
0.7800000000000004,-0.0105569379543,-0.0220358821437,150.683932186,6.25462402536,0.0156271731924,0.0,-0.0533157381213,-0.115690072513,1.77434622549,-0.012163521001,0.03030675864,0.0,461.33490119532973,462.4205386692918,461.6061735548516,461.11970137763166
0.8400000000000004,-0.0140529722255,-0.0295115005008,150.791339197,6.25351505711,0.0172467207738,0.0,-0.063376881544,-0.133576297179,1.80583196775,-0.0357598443822,0.0193677715165,0.0,417.75856421098274,416.80391749514104,419.5051037801388,417.45122620196315
0.9000000000000005,-0.0182436609358,-0.0381917103198,150.904153601,6.25097937314,0.0193657045166,0.0,-0.0764999596264,-0.156007094816,1.95439291038,-0.0602630334047,0.0560163895895,0.0,454.40045933351547,457.32917075131115,455.78205612830254,453.8185449179493
0.9600000000000005,-0.023310319628,-0.0483354926923,151.027564775,6.24719434452,0.0221948337765,0.0,-0.0927606077919,-0.182540892347,2.15892393127,-0.0694214848268,0.0162594076472,0.0,474.62804433731617,471.56810397114106,472.61540109548395,471.9063668544667
1.0200000000000005,-0.0293639499148,-0.0600887451863,151.161208193,6.24320832345,0.0235611824824,0.0,-0.109149725556,-0.209661876787,2.2955691309,-0.061045517389,0.0333604194613,0.0,452.1008168493669,453.476556333012,453.0003844601784,453.670167230313
1.0800000000000005,-0.0364367434509,-0.0735565878047,151.303101088,6.23932871277,0.0262848331168,0.0,-0.126865436987,-0.239659570162,2.43388176073,-0.0730956396648,0.062419272533,0.0,453.17386217234537,455.50462468910405,454.52044398788786,453.5506789961853
1.1400000000000006,-0.0445964892495,-0.0888431296077,151.45175394,6.23511565891,0.02986505761,0.0,-0.145488602749,-0.270313261299,2.52098933981,-0.0650092200376,0.053514489993,0.0,438.12256532470116,437.3841390124985,439.658844069875,440.32445291402047
1.2000000000000006,-0.0539033522371,-0.105986440097,151.604273767,6.23145554005,0.0333166153084,0.0,-0.165049819595,-0.30147835608,2.5628778841,-0.0540007454914,0.0645339191894,0.0,423.817966863313,424.76643456712105,424.7399677384797,425.6801389955311
1.2600000000000007,-0.0643529150402,-0.124915557099,151.756414035,6.22844617536,0.0370183449345,0.0,-0.183573973726,-0.329745913709,2.50855553122,-0.0434049162672,0.0553129344122,0.0,391.9923199523326,391.1377721832787,392.26780263537626,393.2485364445044
